lp,year,title,authors,type,area,publisher,doi,url,apa
66,2026,"Digital twins as tools for energy transition: Data governance, cybersecurity, and spatial planning—A multi-case study of Polish energy groups","D. Benduch, A. Besiekierska, M. Ganczar, G. Kinelski, G. Szpor, M. Rytlewski",Artykuł,Gospodarka cyfrowa,"Sustainability, 18(12), 5961",10.3390/su18125961,https://doi.org/10.3390/su18125961,"Benduch, D., Besiekierska, A., Ganczar, M., Kinelski, G., Szpor, G., & Rytlewski, M. (2026). Digital twins as tools for energy transition: Data governance, cybersecurity, and spatial planning—A multi-case study of Polish energy groups. Sustainability, 18(12), 5961. https://doi.org/10.3390/su18125961"
65,2026,Rezyliencja miast inteligentnych w warunkach transformacji energetyczno-klimatycznej,Grzegorz Kinelski,Monografia,Monografia 4T+,Polskie Wydawnictwo Ekonomiczne S.A.,10.33226/978-83-208-2706-4,https://doi.org/10.33226/978-83-208-2706-4,"Kinelski, G. (2026). Rezyliencja miast inteligentnych w warunkach transformacji energetyczno-klimatycznej. Polskie Wydawnictwo Ekonomiczne S.A. https://doi.org/10.33226/978-83-208-2706-4"
64,2024,SMART CITY 4.0 DEVELOPMENT AS A SOLUTION FOR NETZERO ECONOMY,Grzegorz Kinelski,Artykuł,Smart City i współzarządzanie,Wydawnictwo Politechniki Ślaskiej,10.29119/1641-3466.2024.194.9,https://doi.org/10.29119/1641-3466.2024.194.9,"Kinelski, G. (2024). Smart City 4.0 development as a solution for NETZero economy. Zeszyty Naukowe Politechniki Śląskiej. Organizacja i Zarządzanie, 194, 159–177. https://doi.org/10.29119/1641-3466.2024.194.9"
63,2024,Rewolucja 4.0 w elektroenergetyce.,Grzegorz Kinelski,Rozdział,Subsektor elektroenergetyczny,Instytut de Republica,,https://economicus.ue.katowice.pl/info/book/UEKTa58b3e0a9cbb46c194c55cd29cb13e7e/,"Kinelski, G. (2024). Rewolucja 4.0 w elektroenergetyce. W: M. Będkowski-Kozioł (red.), Prawo energetyczne. Stan obecny i perspektywy w 100-lecie ustawy elektrycznej (s. 399–422). Instytut De Republica. ISBN 978-83-67253-89-5"
60,2024,The neoliberal approach and consumer protection,Grzegorz Kinelski,Rozdział,Subsektor elektroenergetyczny,Routledge,"10.4324/9781003375883, 10.4324/9781003375883-35",https://doi.org/10.4324/9781003375883-35,"Kinelski, G., & Budka, B. (2024). The neoliberal approach and consumer protection. W: T. S. Hunter, M. Kraśniewski, J. Malinauskaite, & M. Czarnecka (Eds.), Routledge handbook of consumer protection and behaviour in energy markets (s. 424–438). Routledge. https://doi.org/10.4324/9781003375883-35"
62,2023,COOPERATION AMONG INDUSTRY AND CITIES AS A TOOL FOR SUSTAINABLE MANAGEMENT OF METROPOLISES,"Karolina Mucha-Kuś, Zbigniew J. Makieła, Grzegorz Kinelski ,Magdalena M. Stuss, Mariusz Raczek , Krzysztof Wrana, Olena Borysiak",Artykuł,Smart City i współzarządzanie,PJMS,10.17512/pjms.2023.28.1.13,https://doi.org/10.17512/pjms.2023.28.1.13,"Mucha-Kuś, K., Makieła, Z. J., Kinelski, G., Stuss, M. M., Raczek, M., Wrana, K., & Borysiak, O. (2023). Cooperation among industry and cities as a tool for sustainable management of metropolises. Polish Journal of Management Studies, 28(1), 218–239. https://doi.org/10.17512/pjms.2023.28.1.13"
61,2023,Monitoring the integration of environmentally friendly technologies in business structures in the context of climate security,"Konovalyuk, I., Brych, V., Borysiak, O., Mucha-Kuś, K., Pavlenchyk, N., Pavlenchyk, A., … Kinelski, G.",Artykuł,Dekarbonizacja i zrównoważony rozwój,FSO,10.23762/FSO_VOL11_NO2_8,https://doi.org/10.23762/FSO_VOL11_NO2_8,"Konovalyuk, I., Brych, V., Borysiak, O., Mucha-Kuś, K., Pavlenchyk, N., Pavlenchyk, A., Moskvyak, Y., & Kinelski, G. (2023). Monitoring the integration of environmentally friendly technologies in business structures in the context of climate security. Forum Scientiae Oeconomia, 11(2), 161–174. https://doi.org/10.23762/FSO_VOL11_NO2_8"
59,2023,The impact of a special economic zone management on the development of modern sectors and technologies in a Polish Metropolis: The smart city context,Grzegorz Kinelski Karolina Mucha-Kuś Jakub Stęchły Zbigniew J. Makieła Jacek Kamiński and Magdalena Stefańska,Artykuł,Smart City i współzarządzanie,MDPI,10.3390/en16062825,https://doi.org/10.3390/en16062825,"Kinelski, G., Mucha-Kuś, K., Stęchły, J., Makieła, Z. J., Kamiński, J., & Stefańska, M. (2023). The impact of a special economic zone management on the development of modern sectors and technologies in a Polish metropolis: The smart city context. Energies, 16(6), 2825. https://doi.org/10.3390/en16062825"
58,2023,Nowe technologie na rynku nieruchomości – w poszukiwaniu zrównoważonego rozwoju,"Piotr Bartkowiak, Anna Górska, Maciej Koszel, Anna Mazurczak, Łukasz Strączkowski, Grzegorz Kinelski",Monografia,Dekarbonizacja i zrównoważony rozwój,UEP,10.18559/978-83-8211-156-9,https://doi.org/10.18559/978-83-8211-156-9,"Bartkowiak, P., Górska, A., Koszel, M., Mazurczak, A., Strączkowski, Ł., & Kinelski, G. (2023). Nowe technologie na rynku nieruchomości – w poszukiwaniu zrównoważonego rozwoju. Wydawnictwo Uniwersytetu Ekonomicznego w Poznaniu. https://doi.org/10.18559/978-83-8211-156-9"
56,2023,The cost of using gas as a transition fuel in the transition to low-carbon energy: The case study of Poland and selected European countries,"Grzegorz Zych, Jakub Bronicki, Marzena Czarnecka, Grzegorz Kinelski and Jacek Kamiński",Artykuł,Dekarbonizacja i zrównoważony rozwój,MDPI,10.3390/en16020994,https://doi.org/10.3390/en16020994,"Zych, G., Bronicki, J., Czarnecka, M., Kinelski, G., & Kamiński, J. (2023). The cost of using gas as a transition fuel in the transition to low-carbon energy: The case study of Poland and selected European countries. Energies, 16(2), 994. https://doi.org/10.3390/en16020994"
